epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1801.68,1.09724,1.29225,1.11465,0.88633,0.83975,0.92546,0.6314,1.05037,0.91967,0.92745,0.000666281,0.000666281,0.000666281
2,3459.78,1.09039,1.09492,1.09941,0.8872,0.9,0.92494,0.58096,1.16308,0.87291,0.93178,0.000893075,0.000893075,0.000893075
3,4975.11,0.94541,0.84796,1.02518,0.9298,0.92308,0.95739,0.73922,0.91583,0.64665,0.87656,0.000679869,0.000679869,0.000679869
